Usuari,ID,Directori Home,Shell
root,0,/root,/bin/bash
daemon,1,/usr/sbin,/usr/sbin/nologin
bin,2,/bin,/usr/sbin/nologin
sys,3,/dev,/usr/sbin/nologin
sync,4,/bin,/bin/sync
games,5,/usr/games,/usr/sbin/nologin
man,6,/var/cache/man,/usr/sbin/nologin
lp,7,/var/spool/lpd,/usr/sbin/nologin
mail,8,/var/mail,/usr/sbin/nologin
news,9,/var/spool/news,/usr/sbin/nologin
uucp,10,/var/spool/uucp,/usr/sbin/nologin
proxy,13,/bin,/usr/sbin/nologin
www-data,33,/var/www,/usr/sbin/nologin
backup,34,/var/backups,/usr/sbin/nologin
list,38,/var/list,/usr/sbin/nologin
irc,39,/run/ircd,/usr/sbin/nologin
gnats,41,/var/lib/gnats,/usr/sbin/nologin
nobody,65534,/nonexistent,/usr/sbin/nologin
systemd-network,100,/run/systemd,/usr/sbin/nologin
systemd-resolve,101,/run/systemd,/usr/sbin/nologin
messagebus,102,/nonexistent,/usr/sbin/nologin
systemd-timesync,103,/run/systemd,/usr/sbin/nologin
syslog,104,/home/syslog,/usr/sbin/nologin
_apt,105,/nonexistent,/usr/sbin/nologin
tss,106,/var/lib/tpm,/bin/false
uuidd,107,/run/uuidd,/usr/sbin/nologin
systemd-oom,108,/run/systemd,/usr/sbin/nologin
tcpdump,109,/nonexistent,/usr/sbin/nologin
avahi-autoipd,110,/var/lib/avahi-autoipd,/usr/sbin/nologin
usbmux,111,/var/lib/usbmux,/usr/sbin/nologin
dnsmasq,112,/var/lib/misc,/usr/sbin/nologin
kernoops,113,/,/usr/sbin/nologin
avahi,114,/run/avahi-daemon,/usr/sbin/nologin
cups-pk-helper,115,/home/cups-pk-helper,/usr/sbin/nologin
rtkit,116,/proc,/usr/sbin/nologin
whoopsie,117,/nonexistent,/bin/false
sssd,118,/var/lib/sss,/usr/sbin/nologin
speech-dispatcher,119,/run/speech-dispatcher,/bin/false
fwupd-refresh,120,/run/systemd,/usr/sbin/nologin
nm-openvpn,121,/var/lib/openvpn/chroot,/usr/sbin/nologin
saned,122,/var/lib/saned,/usr/sbin/nologin
colord,123,/var/lib/colord,/usr/sbin/nologin
geoclue,124,/var/lib/geoclue,/usr/sbin/nologin
pulse,125,/run/pulse,/usr/sbin/nologin
gnome-initial-setup,126,/run/gnome-initial-setup/,/bin/false
hplip,127,/run/hplip,/bin/false
gdm,128,/var/lib/gdm3,/bin/false
programmer,1000,/home/programmer,/bin/bash
mysql,129,/nonexistent,/bin/false
